text,label
managed content calendar brand awareness and KPIs conducted market research surveys customer segmentation analyzed campaigns Google Analytics SEO SEM and social media. 6 years experience. Education M.Tech. worked with cross functional teams.,Marketing Analyst
optimized algorithms data structures and performance developed REST APIs with Node and Express worked with databases MySQL MongoDB authentication and OAuth. 1 years experience. Education M.Tech. worked with cross functional teams.,Software Engineer
developed predictive models classification regression and clustering used SQL for data extraction ETL and feature engineering built machine learning models using Python and scikit learn. 4 years experience. Education BCA. worked with cross functional teams.,Data Scientist
created project plans timelines budgets risk and scope handled resource allocation vendor management and change requests delivered software projects on time within budget. 4 years experience. Education M.Tech. team leadership.,Project Manager
prepared dashboards Power BI Excel and reporting conducted market research surveys customer segmentation optimized conversion rates A B tests email marketing. 4 years experience. Education BCA. mentored interns.,Marketing Analyst
conducted interviews screening resumes and job descriptions used HRIS applicant tracking systems ATS and Excel managed recruitment onboarding payroll and employee relations. 2 years experience. Education B.Tech. worked with cross functional teams.,HR Specialist
developed REST APIs with Node and Express implemented microservices unit tests CI CD pipelines worked with databases MySQL MongoDB authentication and OAuth. 7 years experience. Education BSc. worked with cross functional teams.,Software Engineer
delivered software projects on time within budget handled resource allocation vendor management and change requests created project plans timelines budgets risk and scope. 1 years experience. Education MSc. strong communication skills.,Project Manager
implemented microservices unit tests CI CD pipelines worked with databases MySQL MongoDB authentication and OAuth developed REST APIs with Node and Express. 7 years experience. Education B.Tech. won employee of the month.,Software Engineer
organized campus hiring performance reviews and leave management managed recruitment onboarding payroll and employee relations handled HR policies compliance benefits training and engagement. 1 years experience. Education BSc. worked with cross functional teams.,HR Specialist
optimized conversion rates A B tests email marketing prepared dashboards Power BI Excel and reporting analyzed campaigns Google Analytics SEO SEM and social media. 1 years experience. Education M.Tech. team leadership.,Marketing Analyst
managed content calendar brand awareness and KPIs conducted market research surveys customer segmentation analyzed campaigns Google Analytics SEO SEM and social media. 2 years experience. Education B.Tech. worked with cross functional teams.,Marketing Analyst
used SQL for data extraction ETL and feature engineering experience with pandas numpy matplotlib and data cleaning worked with seaborn Jupyter notebooks and statistics A B testing. 1 years experience. Education BCA. worked with cross functional teams.,Data Scientist
managed content calendar brand awareness and KPIs analyzed campaigns Google Analytics SEO SEM and social media conducted market research surveys customer segmentation. 6 years experience. Education MBA. mentored interns.,Marketing Analyst
used HRIS applicant tracking systems ATS and Excel managed recruitment onboarding payroll and employee relations conducted interviews screening resumes and job descriptions. 7 years experience. Education MSc. mentored interns.,HR Specialist
experience in Java React Git and docker developed REST APIs with Node and Express worked with databases MySQL MongoDB authentication and OAuth. 4 years experience. Education MBA. worked with cross functional teams.,Software Engineer
built machine learning models using Python and scikit learn worked with seaborn Jupyter notebooks and statistics A B testing developed predictive models classification regression and clustering. 3 years experience. Education MBA. strong communication skills.,Data Scientist
optimized algorithms data structures and performance experience in Java React Git and docker developed REST APIs with Node and Express. 7 years experience. Education MBA. team leadership.,Software Engineer
used HRIS applicant tracking systems ATS and Excel organized campus hiring performance reviews and leave management managed recruitment onboarding payroll and employee relations. 5 years experience. Education B.Tech. strong communication skills.,HR Specialist
delivered software projects on time within budget handled resource allocation vendor management and change requests managed cross functional teams scrum agile sprints and standups. 6 years experience. Education M.Tech. team leadership.,Project Manager
analyzed campaigns Google Analytics SEO SEM and social media conducted market research surveys customer segmentation optimized conversion rates A B tests email marketing. 5 years experience. Education BSc. strong communication skills.,Marketing Analyst
prepared dashboards Power BI Excel and reporting managed content calendar brand awareness and KPIs analyzed campaigns Google Analytics SEO SEM and social media. 1 years experience. Education MSc. strong communication skills.,Marketing Analyst
developed REST APIs with Node and Express worked with databases MySQL MongoDB authentication and OAuth experience in Java React Git and docker. 3 years experience. Education B.Tech. team leadership.,Software Engineer
managed recruitment onboarding payroll and employee relations conducted interviews screening resumes and job descriptions used HRIS applicant tracking systems ATS and Excel. 2 years experience. Education M.Tech. mentored interns.,HR Specialist
used HRIS applicant tracking systems ATS and Excel organized campus hiring performance reviews and leave management conducted interviews screening resumes and job descriptions. 3 years experience. Education B.Tech. mentored interns.,HR Specialist
used Jira Trello stakeholder communication and documentation managed cross functional teams scrum agile sprints and standups created project plans timelines budgets risk and scope. 4 years experience. Education BCA. team leadership.,Project Manager
conducted interviews screening resumes and job descriptions organized campus hiring performance reviews and leave management used HRIS applicant tracking systems ATS and Excel. 5 years experience. Education BSc. won employee of the month.,HR Specialist
developed REST APIs with Node and Express experience in Java React Git and docker worked with databases MySQL MongoDB authentication and OAuth. 8 years experience. Education BSc. won employee of the month.,Software Engineer
managed content calendar brand awareness and KPIs optimized conversion rates A B tests email marketing analyzed campaigns Google Analytics SEO SEM and social media. 6 years experience. Education M.Tech. won employee of the month.,Marketing Analyst
developed REST APIs with Node and Express implemented microservices unit tests CI CD pipelines experience in Java React Git and docker. 3 years experience. Education BCA. won employee of the month.,Software Engineer
developed REST APIs with Node and Express experience in Java React Git and docker optimized algorithms data structures and performance. 6 years experience. Education BCA. team leadership.,Software Engineer
worked with databases MySQL MongoDB authentication and OAuth implemented microservices unit tests CI CD pipelines experience in Java React Git and docker. 1 years experience. Education B.Tech. won employee of the month.,Software Engineer
worked with seaborn Jupyter notebooks and statistics A B testing experience with pandas numpy matplotlib and data cleaning developed predictive models classification regression and clustering. 7 years experience. Education MSc. won employee of the month.,Data Scientist
handled HR policies compliance benefits training and engagement used HRIS applicant tracking systems ATS and Excel organized campus hiring performance reviews and leave management. 7 years experience. Education MBA. won employee of the month.,HR Specialist
developed REST APIs with Node and Express implemented microservices unit tests CI CD pipelines optimized algorithms data structures and performance. 7 years experience. Education BSc. strong communication skills.,Software Engineer
analyzed campaigns Google Analytics SEO SEM and social media managed content calendar brand awareness and KPIs prepared dashboards Power BI Excel and reporting. 7 years experience. Education BSc. mentored interns.,Marketing Analyst
built machine learning models using Python and scikit learn experience with pandas numpy matplotlib and data cleaning used SQL for data extraction ETL and feature engineering. 1 years experience. Education MSc. worked with cross functional teams.,Data Scientist
organized campus hiring performance reviews and leave management managed recruitment onboarding payroll and employee relations used HRIS applicant tracking systems ATS and Excel. 7 years experience. Education BSc. strong communication skills.,HR Specialist
managed cross functional teams scrum agile sprints and standups delivered software projects on time within budget handled resource allocation vendor management and change requests. 7 years experience. Education BSc. mentored interns.,Project Manager
used HRIS applicant tracking systems ATS and Excel handled HR policies compliance benefits training and engagement conducted interviews screening resumes and job descriptions. 2 years experience. Education M.Tech. strong communication skills.,HR Specialist
experience in Java React Git and docker implemented microservices unit tests CI CD pipelines developed REST APIs with Node and Express. 2 years experience. Education BCA. strong communication skills.,Software Engineer
developed REST APIs with Node and Express experience in Java React Git and docker worked with databases MySQL MongoDB authentication and OAuth. 1 years experience. Education BSc. won employee of the month.,Software Engineer
analyzed campaigns Google Analytics SEO SEM and social media optimized conversion rates A B tests email marketing prepared dashboards Power BI Excel and reporting. 3 years experience. Education BSc. strong communication skills.,Marketing Analyst
conducted interviews screening resumes and job descriptions handled HR policies compliance benefits training and engagement managed recruitment onboarding payroll and employee relations. 5 years experience. Education B.Tech. worked with cross functional teams.,HR Specialist
developed REST APIs with Node and Express worked with databases MySQL MongoDB authentication and OAuth optimized algorithms data structures and performance. 8 years experience. Education MSc. won employee of the month.,Software Engineer
conducted interviews screening resumes and job descriptions used HRIS applicant tracking systems ATS and Excel organized campus hiring performance reviews and leave management. 7 years experience. Education B.Tech. strong communication skills.,HR Specialist
optimized conversion rates A B tests email marketing prepared dashboards Power BI Excel and reporting conducted market research surveys customer segmentation. 3 years experience. Education MBA. worked with cross functional teams.,Marketing Analyst
optimized conversion rates A B tests email marketing conducted market research surveys customer segmentation managed content calendar brand awareness and KPIs. 6 years experience. Education MSc. worked with cross functional teams.,Marketing Analyst
used Jira Trello stakeholder communication and documentation handled resource allocation vendor management and change requests created project plans timelines budgets risk and scope. 5 years experience. Education M.Tech. mentored interns.,Project Manager
implemented microservices unit tests CI CD pipelines experience in Java React Git and docker developed REST APIs with Node and Express. 4 years experience. Education M.Tech. team leadership.,Software Engineer
built machine learning models using Python and scikit learn experience with pandas numpy matplotlib and data cleaning worked with seaborn Jupyter notebooks and statistics A B testing. 7 years experience. Education MBA. mentored interns.,Data Scientist
delivered software projects on time within budget created project plans timelines budgets risk and scope handled resource allocation vendor management and change requests. 2 years experience. Education BCA. mentored interns.,Project Manager
used HRIS applicant tracking systems ATS and Excel organized campus hiring performance reviews and leave management conducted interviews screening resumes and job descriptions. 3 years experience. Education BSc. strong communication skills.,HR Specialist
conducted interviews screening resumes and job descriptions used HRIS applicant tracking systems ATS and Excel handled HR policies compliance benefits training and engagement. 8 years experience. Education MSc. won employee of the month.,HR Specialist
worked with seaborn Jupyter notebooks and statistics A B testing used SQL for data extraction ETL and feature engineering experience with pandas numpy matplotlib and data cleaning. 1 years experience. Education B.Tech. won employee of the month.,Data Scientist
optimized conversion rates A B tests email marketing analyzed campaigns Google Analytics SEO SEM and social media conducted market research surveys customer segmentation. 2 years experience. Education MSc. team leadership.,Marketing Analyst
conducted interviews screening resumes and job descriptions organized campus hiring performance reviews and leave management used HRIS applicant tracking systems ATS and Excel. 8 years experience. Education M.Tech. strong communication skills.,HR Specialist
experience with pandas numpy matplotlib and data cleaning built machine learning models using Python and scikit learn worked with seaborn Jupyter notebooks and statistics A B testing. 2 years experience. Education BCA. strong communication skills.,Data Scientist
managed recruitment onboarding payroll and employee relations conducted interviews screening resumes and job descriptions used HRIS applicant tracking systems ATS and Excel. 2 years experience. Education BSc. strong communication skills.,HR Specialist
built machine learning models using Python and scikit learn developed predictive models classification regression and clustering used SQL for data extraction ETL and feature engineering. 7 years experience. Education MBA. team leadership.,Data Scientist
managed cross functional teams scrum agile sprints and standups created project plans timelines budgets risk and scope used Jira Trello stakeholder communication and documentation. 8 years experience. Education MSc. strong communication skills.,Project Manager
used Jira Trello stakeholder communication and documentation delivered software projects on time within budget handled resource allocation vendor management and change requests. 3 years experience. Education BSc. won employee of the month.,Project Manager
organized campus hiring performance reviews and leave management handled HR policies compliance benefits training and engagement used HRIS applicant tracking systems ATS and Excel. 2 years experience. Education BCA. worked with cross functional teams.,HR Specialist
organized campus hiring performance reviews and leave management used HRIS applicant tracking systems ATS and Excel handled HR policies compliance benefits training and engagement. 7 years experience. Education MBA. strong communication skills.,HR Specialist
experience in Java React Git and docker optimized algorithms data structures and performance worked with databases MySQL MongoDB authentication and OAuth. 4 years experience. Education MSc. worked with cross functional teams.,Software Engineer
prepared dashboards Power BI Excel and reporting analyzed campaigns Google Analytics SEO SEM and social media managed content calendar brand awareness and KPIs. 2 years experience. Education B.Tech. won employee of the month.,Marketing Analyst
implemented microservices unit tests CI CD pipelines experience in Java React Git and docker optimized algorithms data structures and performance. 5 years experience. Education MBA. worked with cross functional teams.,Software Engineer
managed content calendar brand awareness and KPIs conducted market research surveys customer segmentation analyzed campaigns Google Analytics SEO SEM and social media. 8 years experience. Education MBA. team leadership.,Marketing Analyst
handled resource allocation vendor management and change requests managed cross functional teams scrum agile sprints and standups delivered software projects on time within budget. 7 years experience. Education MSc. team leadership.,Project Manager
delivered software projects on time within budget created project plans timelines budgets risk and scope used Jira Trello stakeholder communication and documentation. 6 years experience. Education MSc. worked with cross functional teams.,Project Manager
created project plans timelines budgets risk and scope used Jira Trello stakeholder communication and documentation managed cross functional teams scrum agile sprints and standups. 8 years experience. Education MBA. mentored interns.,Project Manager
conducted interviews screening resumes and job descriptions managed recruitment onboarding payroll and employee relations used HRIS applicant tracking systems ATS and Excel. 7 years experience. Education MBA. strong communication skills.,HR Specialist
used SQL for data extraction ETL and feature engineering built machine learning models using Python and scikit learn developed predictive models classification regression and clustering. 4 years experience. Education BSc. won employee of the month.,Data Scientist
optimized algorithms data structures and performance developed REST APIs with Node and Express implemented microservices unit tests CI CD pipelines. 6 years experience. Education MBA. team leadership.,Software Engineer
conducted market research surveys customer segmentation optimized conversion rates A B tests email marketing prepared dashboards Power BI Excel and reporting. 7 years experience. Education BCA. won employee of the month.,Marketing Analyst
handled resource allocation vendor management and change requests managed cross functional teams scrum agile sprints and standups used Jira Trello stakeholder communication and documentation. 2 years experience. Education M.Tech. team leadership.,Project Manager
conducted market research surveys customer segmentation prepared dashboards Power BI Excel and reporting analyzed campaigns Google Analytics SEO SEM and social media. 7 years experience. Education MSc. mentored interns.,Marketing Analyst
managed recruitment onboarding payroll and employee relations handled HR policies compliance benefits training and engagement used HRIS applicant tracking systems ATS and Excel. 7 years experience. Education MBA. worked with cross functional teams.,HR Specialist
conducted interviews screening resumes and job descriptions used HRIS applicant tracking systems ATS and Excel organized campus hiring performance reviews and leave management. 6 years experience. Education BSc. worked with cross functional teams.,HR Specialist
implemented microservices unit tests CI CD pipelines developed REST APIs with Node and Express optimized algorithms data structures and performance. 7 years experience. Education M.Tech. worked with cross functional teams.,Software Engineer
delivered software projects on time within budget used Jira Trello stakeholder communication and documentation managed cross functional teams scrum agile sprints and standups. 3 years experience. Education BSc. mentored interns.,Project Manager
optimized algorithms data structures and performance developed REST APIs with Node and Express implemented microservices unit tests CI CD pipelines. 5 years experience. Education B.Tech. team leadership.,Software Engineer
analyzed campaigns Google Analytics SEO SEM and social media optimized conversion rates A B tests email marketing prepared dashboards Power BI Excel and reporting. 4 years experience. Education M.Tech. mentored interns.,Marketing Analyst
developed REST APIs with Node and Express optimized algorithms data structures and performance worked with databases MySQL MongoDB authentication and OAuth. 4 years experience. Education BCA. mentored interns.,Software Engineer
used Jira Trello stakeholder communication and documentation handled resource allocation vendor management and change requests created project plans timelines budgets risk and scope. 5 years experience. Education M.Tech. mentored interns.,Project Manager
developed REST APIs with Node and Express optimized algorithms data structures and performance worked with databases MySQL MongoDB authentication and OAuth. 3 years experience. Education M.Tech. won employee of the month.,Software Engineer
created project plans timelines budgets risk and scope used Jira Trello stakeholder communication and documentation managed cross functional teams scrum agile sprints and standups. 1 years experience. Education MBA. team leadership.,Project Manager
managed cross functional teams scrum agile sprints and standups created project plans timelines budgets risk and scope used Jira Trello stakeholder communication and documentation. 3 years experience. Education M.Tech. mentored interns.,Project Manager
created project plans timelines budgets risk and scope managed cross functional teams scrum agile sprints and standups handled resource allocation vendor management and change requests. 3 years experience. Education MBA. team leadership.,Project Manager
conducted interviews screening resumes and job descriptions used HRIS applicant tracking systems ATS and Excel handled HR policies compliance benefits training and engagement. 7 years experience. Education MSc. strong communication skills.,HR Specialist
created project plans timelines budgets risk and scope used Jira Trello stakeholder communication and documentation managed cross functional teams scrum agile sprints and standups. 7 years experience. Education BCA. worked with cross functional teams.,Project Manager
conducted interviews screening resumes and job descriptions handled HR policies compliance benefits training and engagement used HRIS applicant tracking systems ATS and Excel. 3 years experience. Education BCA. won employee of the month.,HR Specialist
created project plans timelines budgets risk and scope managed cross functional teams scrum agile sprints and standups handled resource allocation vendor management and change requests. 7 years experience. Education BSc. team leadership.,Project Manager
created project plans timelines budgets risk and scope managed cross functional teams scrum agile sprints and standups delivered software projects on time within budget. 1 years experience. Education MSc. team leadership.,Project Manager
worked with seaborn Jupyter notebooks and statistics A B testing used SQL for data extraction ETL and feature engineering experience with pandas numpy matplotlib and data cleaning. 1 years experience. Education M.Tech. won employee of the month.,Data Scientist
managed cross functional teams scrum agile sprints and standups created project plans timelines budgets risk and scope delivered software projects on time within budget. 7 years experience. Education BCA. worked with cross functional teams.,Project Manager
worked with databases MySQL MongoDB authentication and OAuth developed REST APIs with Node and Express experience in Java React Git and docker. 5 years experience. Education BCA. worked with cross functional teams.,Software Engineer
worked with databases MySQL MongoDB authentication and OAuth optimized algorithms data structures and performance implemented microservices unit tests CI CD pipelines. 8 years experience. Education BSc. strong communication skills.,Software Engineer
developed REST APIs with Node and Express experience in Java React Git and docker optimized algorithms data structures and performance. 1 years experience. Education M.Tech. won employee of the month.,Software Engineer
organized campus hiring performance reviews and leave management handled HR policies compliance benefits training and engagement conducted interviews screening resumes and job descriptions. 3 years experience. Education BCA. strong communication skills.,HR Specialist
created project plans timelines budgets risk and scope managed cross functional teams scrum agile sprints and standups used Jira Trello stakeholder communication and documentation. 4 years experience. Education MBA. worked with cross functional teams.,Project Manager
developed predictive models classification regression and clustering worked with seaborn Jupyter notebooks and statistics A B testing used SQL for data extraction ETL and feature engineering. 7 years experience. Education BSc. won employee of the month.,Data Scientist
developed REST APIs with Node and Express implemented microservices unit tests CI CD pipelines experience in Java React Git and docker. 3 years experience. Education M.Tech. worked with cross functional teams.,Software Engineer
used Jira Trello stakeholder communication and documentation managed cross functional teams scrum agile sprints and standups handled resource allocation vendor management and change requests. 5 years experience. Education MBA. mentored interns.,Project Manager
used HRIS applicant tracking systems ATS and Excel managed recruitment onboarding payroll and employee relations organized campus hiring performance reviews and leave management. 5 years experience. Education MBA. worked with cross functional teams.,HR Specialist
worked with seaborn Jupyter notebooks and statistics A B testing used SQL for data extraction ETL and feature engineering experience with pandas numpy matplotlib and data cleaning. 1 years experience. Education M.Tech. worked with cross functional teams.,Data Scientist
analyzed campaigns Google Analytics SEO SEM and social media optimized conversion rates A B tests email marketing conducted market research surveys customer segmentation. 6 years experience. Education MSc. mentored interns.,Marketing Analyst
handled resource allocation vendor management and change requests created project plans timelines budgets risk and scope managed cross functional teams scrum agile sprints and standups. 2 years experience. Education MBA. team leadership.,Project Manager
used HRIS applicant tracking systems ATS and Excel conducted interviews screening resumes and job descriptions managed recruitment onboarding payroll and employee relations. 5 years experience. Education MBA. worked with cross functional teams.,HR Specialist
developed predictive models classification regression and clustering built machine learning models using Python and scikit learn experience with pandas numpy matplotlib and data cleaning. 4 years experience. Education BCA. team leadership.,Data Scientist
handled resource allocation vendor management and change requests created project plans timelines budgets risk and scope delivered software projects on time within budget. 3 years experience. Education M.Tech. strong communication skills.,Project Manager
implemented microservices unit tests CI CD pipelines experience in Java React Git and docker worked with databases MySQL MongoDB authentication and OAuth. 8 years experience. Education BCA. won employee of the month.,Software Engineer
prepared dashboards Power BI Excel and reporting analyzed campaigns Google Analytics SEO SEM and social media managed content calendar brand awareness and KPIs. 5 years experience. Education B.Tech. strong communication skills.,Marketing Analyst
used Jira Trello stakeholder communication and documentation created project plans timelines budgets risk and scope handled resource allocation vendor management and change requests. 3 years experience. Education BSc. worked with cross functional teams.,Project Manager
handled HR policies compliance benefits training and engagement organized campus hiring performance reviews and leave management conducted interviews screening resumes and job descriptions. 3 years experience. Education BCA. worked with cross functional teams.,HR Specialist
implemented microservices unit tests CI CD pipelines optimized algorithms data structures and performance developed REST APIs with Node and Express. 5 years experience. Education BCA. mentored interns.,Software Engineer
optimized algorithms data structures and performance worked with databases MySQL MongoDB authentication and OAuth implemented microservices unit tests CI CD pipelines. 6 years experience. Education BCA. worked with cross functional teams.,Software Engineer
worked with seaborn Jupyter notebooks and statistics A B testing built machine learning models using Python and scikit learn developed predictive models classification regression and clustering. 4 years experience. Education MSc. strong communication skills.,Data Scientist
optimized conversion rates A B tests email marketing managed content calendar brand awareness and KPIs prepared dashboards Power BI Excel and reporting. 1 years experience. Education MBA. mentored interns.,Marketing Analyst
optimized algorithms data structures and performance developed REST APIs with Node and Express experience in Java React Git and docker. 5 years experience. Education BCA. won employee of the month.,Software Engineer
analyzed campaigns Google Analytics SEO SEM and social media optimized conversion rates A B tests email marketing conducted market research surveys customer segmentation. 1 years experience. Education B.Tech. won employee of the month.,Marketing Analyst
developed REST APIs with Node and Express worked with databases MySQL MongoDB authentication and OAuth experience in Java React Git and docker. 2 years experience. Education M.Tech. worked with cross functional teams.,Software Engineer
created project plans timelines budgets risk and scope used Jira Trello stakeholder communication and documentation managed cross functional teams scrum agile sprints and standups. 4 years experience. Education B.Tech. team leadership.,Project Manager
used SQL for data extraction ETL and feature engineering experience with pandas numpy matplotlib and data cleaning worked with seaborn Jupyter notebooks and statistics A B testing. 8 years experience. Education BSc. worked with cross functional teams.,Data Scientist
organized campus hiring performance reviews and leave management conducted interviews screening resumes and job descriptions handled HR policies compliance benefits training and engagement. 8 years experience. Education BSc. strong communication skills.,HR Specialist
experience with pandas numpy matplotlib and data cleaning worked with seaborn Jupyter notebooks and statistics A B testing built machine learning models using Python and scikit learn. 2 years experience. Education BCA. strong communication skills.,Data Scientist
used SQL for data extraction ETL and feature engineering developed predictive models classification regression and clustering experience with pandas numpy matplotlib and data cleaning. 8 years experience. Education B.Tech. team leadership.,Data Scientist
managed content calendar brand awareness and KPIs prepared dashboards Power BI Excel and reporting analyzed campaigns Google Analytics SEO SEM and social media. 1 years experience. Education BCA. team leadership.,Marketing Analyst
organized campus hiring performance reviews and leave management conducted interviews screening resumes and job descriptions handled HR policies compliance benefits training and engagement. 7 years experience. Education MBA. won employee of the month.,HR Specialist
handled HR policies compliance benefits training and engagement conducted interviews screening resumes and job descriptions used HRIS applicant tracking systems ATS and Excel. 2 years experience. Education BCA. strong communication skills.,HR Specialist
conducted interviews screening resumes and job descriptions organized campus hiring performance reviews and leave management managed recruitment onboarding payroll and employee relations. 5 years experience. Education BSc. worked with cross functional teams.,HR Specialist
used SQL for data extraction ETL and feature engineering developed predictive models classification regression and clustering experience with pandas numpy matplotlib and data cleaning. 3 years experience. Education MBA. mentored interns.,Data Scientist
built machine learning models using Python and scikit learn developed predictive models classification regression and clustering used SQL for data extraction ETL and feature engineering. 6 years experience. Education BCA. strong communication skills.,Data Scientist
organized campus hiring performance reviews and leave management managed recruitment onboarding payroll and employee relations used HRIS applicant tracking systems ATS and Excel. 4 years experience. Education MBA. mentored interns.,HR Specialist
developed REST APIs with Node and Express implemented microservices unit tests CI CD pipelines optimized algorithms data structures and performance. 6 years experience. Education BCA. strong communication skills.,Software Engineer
used SQL for data extraction ETL and feature engineering experience with pandas numpy matplotlib and data cleaning developed predictive models classification regression and clustering. 8 years experience. Education BCA. team leadership.,Data Scientist
experience in Java React Git and docker implemented microservices unit tests CI CD pipelines optimized algorithms data structures and performance. 5 years experience. Education B.Tech. worked with cross functional teams.,Software Engineer
prepared dashboards Power BI Excel and reporting conducted market research surveys customer segmentation optimized conversion rates A B tests email marketing. 5 years experience. Education BCA. worked with cross functional teams.,Marketing Analyst
analyzed campaigns Google Analytics SEO SEM and social media managed content calendar brand awareness and KPIs optimized conversion rates A B tests email marketing. 3 years experience. Education BCA. team leadership.,Marketing Analyst
handled HR policies compliance benefits training and engagement organized campus hiring performance reviews and leave management conducted interviews screening resumes and job descriptions. 2 years experience. Education MBA. mentored interns.,HR Specialist
organized campus hiring performance reviews and leave management managed recruitment onboarding payroll and employee relations handled HR policies compliance benefits training and engagement. 3 years experience. Education BSc. strong communication skills.,HR Specialist
managed recruitment onboarding payroll and employee relations used HRIS applicant tracking systems ATS and Excel handled HR policies compliance benefits training and engagement. 8 years experience. Education M.Tech. worked with cross functional teams.,HR Specialist
used SQL for data extraction ETL and feature engineering developed predictive models classification regression and clustering experience with pandas numpy matplotlib and data cleaning. 3 years experience. Education M.Tech. worked with cross functional teams.,Data Scientist
worked with seaborn Jupyter notebooks and statistics A B testing built machine learning models using Python and scikit learn used SQL for data extraction ETL and feature engineering. 4 years experience. Education MBA. worked with cross functional teams.,Data Scientist
created project plans timelines budgets risk and scope delivered software projects on time within budget managed cross functional teams scrum agile sprints and standups. 5 years experience. Education BCA. strong communication skills.,Project Manager
organized campus hiring performance reviews and leave management conducted interviews screening resumes and job descriptions handled HR policies compliance benefits training and engagement. 3 years experience. Education BCA. mentored interns.,HR Specialist
developed REST APIs with Node and Express experience in Java React Git and docker implemented microservices unit tests CI CD pipelines. 3 years experience. Education M.Tech. mentored interns.,Software Engineer
managed recruitment onboarding payroll and employee relations conducted interviews screening resumes and job descriptions used HRIS applicant tracking systems ATS and Excel. 8 years experience. Education MSc. team leadership.,HR Specialist
used SQL for data extraction ETL and feature engineering built machine learning models using Python and scikit learn developed predictive models classification regression and clustering. 7 years experience. Education MSc. strong communication skills.,Data Scientist
